Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,LTube Length,Weight,Material,Rigid Weight,Rigid,East,North,Up,Conn Ref,Connected Type,Insu Material,Insu Thickness,Status,Bend Type,Pressure,Temperature,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
655,,,unset,TEE,=67132086/1300,3,3,100mm,219.1,0.000,0,0.000,0,578mm,0.000,,0.000,,181425.000mm,154533.800mm,101083.798mm,=67132086/1339,,,0,,0,,,,,,
656,2410,,unset,TEE,=67132086/1300,0,0,200mm,219.1,0.000,0,0.000,0,578mm,0.000,,0.000,,181425.000mm,154533.800mm,100927.798mm,=67132086/1339,,,0,,0,,,,,,
657,,,unset,TEE,=67132086/1300,2,2,200mm,219.1,0.000,0,0.000,0,578mm,0.000,,0.000,,181425.000mm,154355.800mm,100927.798mm,=67132086/1339,,,0,,0,,,,,,
658,2420,PS-171061.3,PS-171061.3,ATTA,=67132086/1301,0,0,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,153777.200mm,100927.798mm,Unset,,,0,,0,,,,,,
659,2430,PS-171061.8,PS-171061.8,ATTA,=67132086/1302,0,0,200mm,219.1,0.000,0,0.000,0,880mm,0.000,,0.000,,181425.000mm,153777.200mm,100927.798mm,Unset,,,0,,0,,,,,,
660,,,unset,OLET,=67132086/1303,1,1,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,152896.800mm,100927.798mm,=67132086/891,,,0,,0,,,,,,
661,,,unset,OLET,=67132086/1303,3,3,50mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,152896.800mm,100780.148mm,=67132086/891,,,0,,0,,,,,,
662,2440,,unset,OLET,=67132086/1303,0,0,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,152896.800mm,100927.798mm,=67132086/891,,,0,,0,,,,,,
663,,,unset,OLET,=67132086/1303,2,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,152896.800mm,100927.798mm,=67132086/891,,,0,,0,,,,,,
664,,,unset,OLET,=67132086/1304,1,1,200mm,219.1,0.000,0,0.000,0,150mm,0.000,,0.000,,181425.000mm,152896.800mm,100927.798mm,=67132086/535,,,0,,0,,,,,,
665,,,unset,OLET,=67132086/1304,3,3,50mm,219.1,0.000,0,0.000,0,150mm,0.000,,0.000,,181425.000mm,152896.800mm,101075.448mm,=67132086/535,,,0,,0,,,,,,
666,2450,,unset,OLET,=67132086/1304,0,0,200mm,219.1,0.000,0,0.000,0,150mm,0.000,,0.000,,181425.000mm,152896.800mm,100927.798mm,=67132086/535,,,0,,0,,,,,,
667,,,unset,OLET,=67132086/1304,2,2,200mm,219.1,0.000,0,0.000,0,150mm,0.000,,0.000,,181425.000mm,152896.800mm,100927.798mm,=67132086/535,,,0,,0,,,,,,
668,2460,,unset,FLAN,=67132086/1305,1,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,START,181425.000mm,152746.800mm,100927.798mm,Unset,,,0,,0,,,,,,
669,,,unset,FLAN,=67132086/1305,2,1,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,152606.800mm,100927.798mm,Unset,,,0,,0,,,,,,
670,,,unset,GASK,=67132086/1306,1,1,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,152606.800mm,100927.798mm,Unset,,,0,,0,,,,,,
671,,,unset,GASK,=67132086/1306,2,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,152603.600mm,100927.798mm,Unset,,,0,,0,,,,,,
672,2470,,unset,BRAN,=67132086/1281,2,2,200mm,219.1,0.000,0,0.000,0,225mm,0.000,0,0.000,END,181425.000mm,152603.600mm,100927.798mm,=67132086/1342,BRAN,0,0,,0,0,-100000,,,,
